customerName,averageQuantity
"Alpha Cognac",34.3500
"Amica Models & Co.",32.4231
"Anna's Decorations, Ltd",31.9348
"Atelier graphique",38.5714
"Australian Collectables, Ltd",30.6522
"Australian Collectors, Co.",35.0182
"Australian Gift Network, Co",36.3333
"Auto Associés & Cie.",35.3889
"Auto Canal+ Petit",37.0741
"Auto-Moto Classics Inc.",35.8750
"AV Stores, Co.",34.8627
"Baane Mini Imports",33.8125
"Bavarian Collectables Imports, Co.",28.6429
"Blauer See Auto, Co.",36.8636
"Boards & Toys Co.",34.0000
"CAF Imports",36.0000
"Cambridge Collectables Co.",32.4545
"Canadian Gift Exchange Network",31.9545
"Classic Gift Ideas, Inc",31.8095
"Classic Legends Inc.",36.0000
"Clover Collections, Co.",30.6250
"Collectable Mini Designs Co.",38.1600
"Collectables For Less Inc.",33.1250
"Corporate Gift Ideas Co.",35.2927
"Corrida Auto Replicas, Ltd",36.3438
"Cruz & Sons Co.",36.9615
"Daedalus Designs Imports",34.9500
"Danish Wholesale Imports",36.5278
"Diecast Classics Inc.",35.8387
"Diecast Collectables",38.6111
"Double Decker Gift Stores, Ltd",29.7500
"Down Under Souveniers, Inc",36.7609
"Dragon Souveniers, Ltd.",35.4419
"Enaco Distributors",38.3478
"Euro+ Shopping Channel",36.0116
"Extreme Desk Decorations, Ltd",36.3793
"Frau da Collezione",34.0000
FunGiftIdeas.com,34.7308
"Gift Depot Inc.",36.1200
"Gift Ideas Corp.",35.0526
Gifts4AllAges.com,39.8462
giftsbymail.co.uk,34.4231
GiftsForHim.com,38.5769
"Handji Gifts& Co",34.3333
"Heintze Collectables",32.6667
"Herkku Gifts",33.5517
"Iberia Gift Imports, Corp.",39.2667
"Kelly's Gift Shop",34.3125
"King Kong Collectables, Co.",37.2500
"L'ordine Souveniers",32.8205
"La Corne D'abondance, Co.",36.3478
"La Rochelle Gifts",34.5660
"Land of Toys Inc.",33.2857
"Lyon Souveniers",34.2000
"Marseille Mini Autos",32.1600
"Marta's Replicas Co.",36.1481
"Men 'R' US Retailers, Ltd.",35.7143
"Microscale Inc.",38.1000
"Mini Auto Werke",35.4667
"Mini Caravy",41.0000
"Mini Classics",35.7308
"Mini Creations Ltd.",32.5714
"Mini Gifts Distributors Ltd.",35.3667
"Mini Wheels Co.",32.9524
"Motor Mint Distributors Inc.",31.7391
"Muscle Machine Inc",36.9792
"Norway Gifts By Mail, Co.",32.7917
"Online Diecast Creations Co.",36.7059
"Online Mini Collectables",38.1333
"Osaka Souveniers Co.",34.6000
"Oulu Toy Supplies, Inc.",34.6875
"Petit Auto",31.8400
"Québec Home Shopping Network",32.5909
"Reims Collectables",34.9512
"Rovelli Gifts",34.3750
"Royal Canadian Collectables, Ltd.",33.5769
"Royale Belge",34.7500
"Salzburg Collectables",36.0500
"Saveley & Henriot, Co.",34.8293
"Scandinavian Gift Ideas",35.7632
"Signal Collectibles Ltd.",34.2667
"Signal Gift Stores",32.0345
"Souveniers And Things Co.",34.8043
"Stylish Desk Decors, Co.",36.0385
"Suominen Souveniers",34.3667
"Super Scale Inc.",37.4118
"Technics Stores Inc.",34.6765
"Tekni Collectables Inc.",47.0476
"The Sharp Gifts Warehouse",41.4000
"Tokyo Collectables, Ltd",35.9375
"Toms Spezialitäten, Ltd",36.0000
"Toys of Finland, Co.",35.0333
Toys4GrownUps.com,35.3333
"UK Collectables, Ltd.",36.0690
"Vida Sport, Ltd",34.7742
"Vitachrome Inc.",31.4800
"Volvo Model Replicas, Co",34.0526
"West Coast Collectables Co.",39.3077
